date,traffic,orders,revenue,marketing_cost,refunds,Conversion rate
2026-01-01,18596,412,1068666,44323,22,2.215530221553022
2026-01-02,17834,426,1010227,35692,27,2.3886957496916
2026-01-03,18777,386,902995,43489,19,2.05570644937956
2026-01-04,19827,423,1088112,40030,22,2.133454380390377
2026-01-05,17719,375,924930,37055,23,2.1163722557706417
2026-01-06,17719,337,878592,41386,17,1.9019132005192168
2026-01-07,19895,449,1154372,40597,21,2.2568484543855236
2026-01-08,18920,426,1060346,38199,20,2.251585623678647
2026-01-09,17436,383,908851,40209,20,2.196604725854554
2026-01-10,18651,401,911381,38844,16,2.150018765749826
2026-01-11,17443,334,812629,40340,20,1.914808232528808
2026-01-12,17441,369,969901,41986,22,2.115704374749154
2026-01-13,18290,389,984992,44758,27,2.1268452706396936
2026-01-14,15704,320,740204,36286,24,2.0376974019358127
2026-01-15,15930,345,871462,46399,30,2.1657250470809792
2026-01-16,17325,395,1010330,34143,16,2.2799422799422797
2026-01-17,16784,432,1022726,39544,24,2.5738798856053386
2026-01-18,18377,410,1034454,41764,20,2.2310496816673018
2026-01-19,16910,380,953317,40842,30,2.247191011235955
2026-01-20,16305,356,828965,38131,15,2.183379331493407
2026-01-21,19758,358,914213,39375,15,1.811924283834396
2026-01-22,17729,389,1005221,38520,17,2.194145185853686
2026-01-23,18081,399,1062320,38231,9,2.2067363530778166
2026-01-24,16290,438,1164234,42548,17,2.6887661141804786
2026-01-25,17346,374,857712,41071,16,2.15611668396172
2026-01-26,18133,409,964964,37921,20,2.2555561683119176
2026-01-27,16618,364,938120,42698,21,2.1903959561920807
2026-01-28,18450,362,932898,40921,29,1.962059620596206
2026-01-29,17279,419,1079870,42438,24,2.424908848891718
2026-01-30,17649,414,1274254,41888,17,2.3457419683834777
2026-01-31,17277,407,1052352,37513,15,2.3557330555073217
2026-02-01,20222,408,1089496,38319,22,2.0176045890614183
2026-02-02,17983,446,1178822,42241,13,2.4801201134404716
2026-02-03,16730,321,833864,41831,29,1.918708906156605
2026-02-04,18987,439,1076739,39937,25,2.31210828461579
2026-02-05,16534,436,1139636,40351,17,2.636990443933712
2026-02-06,18250,365,870187,43832,11,2.0
2026-02-07,15648,326,803419,38225,26,2.083333333333333
2026-02-08,16406,364,883499,41641,19,2.218700475435816
2026-02-09,18236,382,959691,39393,26,2.094757622285589
2026-02-10,40000,356,1013602,39346,12,0.89
2026-02-11,18205,403,894623,43296,17,2.213677561109585
2026-02-12,17861,354,921440,42476,20,1.9819718940708806
2026-02-13,17638,404,912269,42440,20,2.2905091280190497
2026-02-14,16225,327,794351,43916,17,2.015408320493066
2026-02-15,17136,430,1145237,40063,23,2.5093370681605975
2026-02-16,17447,356,893432,42045,14,2.040465409525993
2026-02-17,19268,411,961057,39069,19,2.133070375752543
2026-02-18,18412,435,1040826,40972,20,2.362589615468173
2026-02-19,15884,310,806601,39609,22,1.9516494585746662
2026-02-20,18388,412,984863,40290,23,2.2405916902327605
2026-02-21,17537,431,1091494,41785,14,2.457660945429663
2026-02-22,17187,322,807201,37545,12,1.8735090475359282
2026-02-23,18734,419,1006546,46277,26,2.2365752108465893
2026-02-24,19237,433,1221749,36981,21,2.2508707178874046
2026-02-25,19117,450,1167789,36357,16,2.3539258251817756
2026-02-26,16992,331,726951,43474,27,1.947975517890772
2026-02-27,17628,341,862037,42374,20,1.9344225096437486
2026-02-28,18397,423,1015509,41872,25,2.299287927379464
2026-03-01,19170,433,1137865,41885,20,2.258737610850287
2026-03-02,17424,392,45000,39963,30,2.2497704315886136
2026-03-03,17777,403,1000564,37308,28,2.26697418012038
2026-03-04,16672,344,886057,40227,18,2.0633397312859887
2026-03-05,16564,372,978309,37968,24,2.245834339531514
2026-03-06,18975,428,992940,42925,23,2.2555994729907773
2026-03-07,19627,403,987279,39558,26,2.053293931828603
2026-03-08,17913,460,1117228,37523,15,2.5679673979791215
2026-03-09,19204,440,1056880,39035,23,2.2911893355550927
2026-03-10,18433,361,998099,41238,25,1.9584440948299247
2026-03-11,17225,401,1026859,38308,11,2.328011611030479
2026-03-12,18433,369,852710,37533,14,2.0018445179840505
2026-03-13,19845,467,1231796,40731,9,2.3532375913328294
2026-03-14,17957,436,1228789,40734,18,2.428022498190121
2026-03-15,19877,404,1072567,38479,23,2.032499874226493
2026-03-16,14856,355,806593,38586,27,2.3896068928379104
2026-03-17,18986,433,1051048,40696,100,2.280627831033393
2026-03-18,18104,428,1151335,35655,28,2.364118426866991
2026-03-19,17641,455,1089201,35777,13,2.5792188651436994
2026-03-20,18110,389,998396,37844,11,2.147984538928769
2026-03-21,15614,319,834566,39359,19,2.0430382989624696
2026-03-22,17736,358,845223,40932,21,2.0184934596301307
2026-03-23,18428,375,934151,44426,19,2.034946820056436
2026-03-24,19773,431,867952,42572,9,2.1797400495625348
2026-03-25,17378,394,924458,39520,19,2.2672344343422717
2026-03-26,17029,384,945452,39942,13,2.2549768042750604
2026-03-27,17397,411,950574,36992,23,2.3624762890153477
2026-03-28,19098,420,1152841,39944,21,2.1991831605403704
2026-03-29,18394,458,1046749,39134,15,2.489942372512776
2026-03-30,17364,372,905445,40968,17,2.1423635107118177
2026-03-31,18615,510,1285001,37518,14,2.73972602739726
